source_file,nx,ny,nz,nRaySPECT,coneMethod,implementation,projector_type,OSEM,nIter,nSubsets,subset_type,nProjections, ntime
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.383393
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.320748
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.346977
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.386088
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.426415
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.483451
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.455810
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.242459
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.918488
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.636724
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.440809
nema1,128,128,128,9,3,4,1,1,2,8,3,64,23.057580
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.749261
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.846575
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.798499
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.807887
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.729688
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.877213
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.881060
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.968408
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.990929
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.948444
nema1,128,128,128,9,3,4,1,1,2,8,3,64,23.208163
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.713329
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.359061
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.532365
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.446363
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.413874
